OAREA,DAREA,F
黄浦区,黄浦区,2.0617490526032957e-09
徐汇区,黄浦区,6.185018811318655e-11
长宁区,黄浦区,5.660550458482452e-11
静安区,黄浦区,7.616683526119806e-11
普陀区,黄浦区,4.798431006541938e-11
虹口区,黄浦区,6.193224889486237e-11
杨浦区,黄浦区,4.331751794530123e-11
闵行区,黄浦区,3.3151073486224456e-11
宝山区,黄浦区,2.6031777474328548e-11
嘉定区,黄浦区,1.5468713546455006e-11
浦东新区,黄浦区,4.7857402560579535e-11
金山区,黄浦区,2.4375824798464775e-12
松江区,黄浦区,1.4141059099118758e-11
青浦区,黄浦区,9.90394598320475e-12
奉贤区,黄浦区,3.5703821548207367e-12
崇明区,黄浦区,3.1810756763028397e-12
玄武区,黄浦区,2.779686717577647e-13
秦淮区,黄浦区,4.3626289775672744e-13
建邺区,黄浦区,3.375355184710525e-13
鼓楼区,黄浦区,4.988948207215521e-13
浦口区,黄浦区,1.176618278873023e-13
栖霞区,黄浦区,4.7657810979643576e-14
雨花台区,黄浦区,2.3450442274750373e-13
江宁区,黄浦区,1.760038562053316e-13
六合区,黄浦区,4.0323125110786797e-14
溧水区,黄浦区,3.3807848755612765e-14
高淳区,黄浦区,4.712637370181649e-14
锡山区,黄浦区,1.8825146286492414e-13
惠山区,黄浦区,1.32598488132969e-13
滨湖区,黄浦区,5.284493681086762e-13
梁溪区,黄浦区,4.697207804405012e-13
新吴区,黄浦区,1.9648871492989626e-13
江阴市,黄浦区,6.671012230664758e-14
宜兴市,黄浦区,1.9166584432881419e-13
天宁区,黄浦区,2.1459431495595597e-13
钟楼区,黄浦区,1.3975206862605773e-13
新北区,黄浦区,1.8085849127972722e-13
武进区,黄浦区,1.0489980825850537e-13
金坛区,黄浦区,1.111667221240516e-13
溧阳市,黄浦区,8.962700181178274e-14
虎丘区,黄浦区,4.002200209155186e-13
吴中区,黄浦区,2.884799649649323e-13
相城区,黄浦区,1.9989793222219617e-13
姑苏区,黄浦区,8.370481793232889e-13
吴江区,黄浦区,1.7516516941242148e-13
常熟市,黄浦区,1.8078196537486338e-13
张家港市,黄浦区,1.4471880625726765e-13
昆山市,黄浦区,7.713607911410243e-13
太仓市,黄浦区,3.011471331530512e-13
崇川区,黄浦区,2.687838549264562e-13
港闸区,黄浦区,1.487719342936123e-13
通州区,黄浦区,1.562063429560268e-13
如东县,黄浦区,8.602037487794514e-14
启东市,黄浦区,5.892138158386026e-13
如皋市,黄浦区,1.194038738863763e-13
海门市,黄浦区,1.7455953391250325e-13
海安市,黄浦区,1.622042879287642e-13
广陵区,黄浦区,1.5256077079785373e-13
邗江区,黄浦区,1.2930736716858958e-13
江都区,黄浦区,7.42810852455424e-14
宝应县,黄浦区,8.024816328506392e-14
仪征市,黄浦区,6.674213915026952e-14
高邮市,黄浦区,1.0166670091902249e-13
京口区,黄浦区,7.045274352360671e-14
润州区,黄浦区,8.841215634470758e-14
丹徒区,黄浦区,1.2954927488028052e-13
丹阳市,黄浦区,1.0119349154671027e-13
扬中市,黄浦区,7.956319365257042e-14
海陵区,黄浦区,7.6187928237384e-14
高港区,黄浦区,7.822298843856197e-14
姜堰区,黄浦区,1.3404764249923094e-13
兴化市,黄浦区,6.655996757621505e-14
靖江市,黄浦区,2.256386841279509e-13
泰兴市,黄浦区,1.509254879007312e-13
黄浦区,徐汇区,5.179436820490016e-11
徐汇区,徐汇区,1.3417168414559115e-09
长宁区,徐汇区,4.581566960443489e-11
静安区,徐汇区,2.7951132898240728e-11
普陀区,徐汇区,3.3151777926808056e-11
虹口区,徐汇区,2.3364257638790356e-11
杨浦区,徐汇区,1.7328476492611645e-11
闵行区,徐汇区,6.17398444214086e-11
宝山区,徐汇区,1.851301071913281e-11
嘉定区,徐汇区,1.780400836182141e-11
浦东新区,徐汇区,2.24024445947524e-11
金山区,徐汇区,4.993151916116093e-12
松江区,徐汇区,3.9548068758606246e-11
青浦区,徐汇区,1.1632706761110683e-11
奉贤区,徐汇区,5.407712680516624e-12
崇明区,徐汇区,2.277834204764941e-12
玄武区,徐汇区,1.4540380207005337e-13
秦淮区,徐汇区,2.2528086920081217e-13
建邺区,徐汇区,2.411871946417265e-13
鼓楼区,徐汇区,2.480816333094188e-13
浦口区,徐汇区,1.230964412294285e-13
栖霞区,徐汇区,1.1426032230615925e-13
雨花台区,徐汇区,1.6146031963644548e-13
江宁区,徐汇区,1.1955870671355598e-13
六合区,徐汇区,9.023028191433673e-14
溧水区,徐汇区,8.645848372558413e-14
高淳区,徐汇区,3.012965157290476e-14
锡山区,徐汇区,2.0059365696506505e-13
惠山区,徐汇区,3.269899336109973e-13
滨湖区,徐汇区,4.635718176353674e-13
梁溪区,徐汇区,3.6812199179344163e-13
新吴区,徐汇区,1.4917681043339332e-13
江阴市,徐汇区,1.2261953716899462e-13
宜兴市,徐汇区,1.1378634041025217e-13
天宁区,徐汇区,1.9817512551056813e-13
钟楼区,徐汇区,1.7869743854844885e-13
新北区,徐汇区,1.0406663208725602e-13
武进区,徐汇区,4.643056175201519e-14
金坛区,徐汇区,3.5536519585534065e-14
溧阳市,徐汇区,1.289292550854664e-13
虎丘区,徐汇区,2.8047903786808415e-13
吴中区,徐汇区,2.8403147170065663e-13
相城区,徐汇区,2.0179297453673523e-13
姑苏区,徐汇区,7.391513535748432e-13
吴江区,徐汇区,1.559855669478682e-13
常熟市,徐汇区,2.476728542950955e-13
张家港市,徐汇区,2.0972138450497682e-13
昆山市,徐汇区,1.0707342873082533e-12
太仓市,徐汇区,4.0047199818729463e-13
崇川区,徐汇区,3.293668262024857e-13
港闸区,徐汇区,1.9023091284109746e-13
通州区,徐汇区,1.815791848423216e-13
如东县,徐汇区,1.0999207957913543e-13
启东市,徐汇区,5.381520118493797e-13
如皋市,徐汇区,3.053574322874675e-13
海门市,徐汇区,4.0176875665514533e-13
海安市,徐汇区,2.962950342745226e-13
广陵区,徐汇区,5.573588638094402e-14
邗江区,徐汇区,1.202487729000297e-13
江都区,徐汇区,1.7413246873700358e-13
宝应县,徐汇区,7.695847386146372e-14
仪征市,徐汇区,6.400611504351019e-14
高邮市,徐汇区,1.624983016218577e-13
京口区,徐汇区,6.005742851204278e-14
润州区,徐汇区,9.420865841598949e-14
丹徒区,徐汇区,1.1043425601023526e-13
丹阳市,徐汇区,5.391398351306031e-14
句容市,徐汇区,5.795249837983382e-14
海陵区,徐汇区,7.306468389796893e-14
高港区,徐汇区,2.500543964572416e-13
姜堰区,徐汇区,1.0712708313358545e-13
兴化市,徐汇区,9.929330662591937e-14
靖江市,徐汇区,1.622916469088955e-13
